Name,Ticker,"Sub-Sector","Market Cap","PE Ratio","Return on Equity","Return on Investment","% Away From 52W High","6M Return","Debt to Equity","Earning Power","Long Term Debt to Equity","5Y Historical Revenue Growth","1Y Forward Revenue Growth","Sector PE"," MF Holding Change – 6M","FII Holding Change – 6M","Percentage Buy Reco’s","No. of analysts with buy reco","Fundamental Score","Total Revenue","Earnings Per Share"
PG Electroplast Ltd,PGEL,"Electronic Equipments","1896.22952844","50.67422577338311","6.303227556278803","7.9414561978230935","12.379673158719505","13.627980922098567","96.6644152335429","12.334930869220441","46.67740427079545","24.762449703410393","57.13463723238913","25.15195670547271","0","0.04539901617332964","100","1",,"1116.89","18.08"
Genus Power Infrastructures Ltd,GENUSPOWER,"Electronic Equipments","1886.4007600500001","32.30691488354176","7.874151319149922","8.374034197720759","53.58361774744027","3.314527503526085","22.90862859985628","7.215188946570689","0.8357746945995235","2.0467544154928685","80.90088070166524","25.15195670547271","-0.4146370852067385","0.1883980436838233","100","1","5.143749999999999","744.43","2.5"
ICICI Prudential Nifty 50 ETF,ICICINIFTY,"Equity","1885.2193666890003",,,,"34.798065155312074","-10.438958191972441",,,,,,,,,,"0",,,
Electrosteel Castings Ltd,ELECTCAST,"Building Products - Pipes","1881.924825","5.419041767449903","-4.388341277994987","1.0968407396053226","51.65876777251186","-11.961057023643962","56.74808187538162","8.897494381365343","22.25528977619667","19.61315956744083",,"43.29238706887016","1.5412985415515514","5.1376377119754935",,"0","4.972727272727273","5336.71","5.84"
PTC Industries Ltd,PTCIL,"Iron & Steel","1872.38872557","146.16617685948478","2.87572301558771","5.375015072953086","57.52958952404934","-31.311442327096607","113.57198042750451","8.198726114649682","57.661601854236416","12.913746333301578",,"11.33587913952648","0","0",,"0",,"185.23","24.45"
S H Kelkar and Company Ltd,SHK,"Specialty Chemicals","1864.5174","12.54975701689439","16.175549991057082","11.204542675886067","54.00890868596881","-18.28935395814377","54.232795918581154","7.9210668146575","34.736059168002356","9.647251840632443","19.812802545150337","11.33587913952648","-0.5811313345179272","1.9498775846803023","75","3","3.9013157894736845","1581.73","10.81"
Balmer Lawrie and Company Ltd,BALMLAWRIE,"Conglomerates","1860.52184448","20.063861150436736","7.569971753367277","7.750643200825184","33.22610294117647","-14.195583596214512","7.916440036935375","6.320585404398943","7.237183298126667","3.509815553244322",,"43.29238706887016","-0.0002233867886222863","-0.09582591493293102",,"0","5.91","2092.46","8.07"
Morepen Laboratories Ltd,MOREPENLAB,"Pharmaceuticals","1856.9075937599998","18.26047392821319","27.430815522185576","17.625982637836636","101.61290322580645","-34.44933920704845","32.21852977916048","13.90649762282092","0.19562091965400982","21.046451643682083",,"32.92951730870654","0","0.020925147039559833",,"0","5.059333333333333","1557.13","2.26"
Stove Kraft Ltd,STOVEKRAFT,"Home Electronics & Appliances","1850.6252514349999","32.91756050222342","67.46997929606621","28.46040807098851","101.34979131515855","-43.672468987595046","17.385967822192736","12.909170688898636","6.853541217448996","17.982269355462876","24.936078299199455","116.53524013940141","2.816371177021945","-0.6971944199693887","100","2",,"1134.79","17.21"
Hester Biosciences Ltd,HESTERBIO,"Biotechnology","1850.3707404749998","47.0353518168531","15.558468562129908","12.047697368421051","35.60444107302945","-13.869090045141363","44.29564332937785","14.005595426347156","35.11188337006271","15.065376319053758","10.769478226087834","32.92951730870654","0.034854203046598246","0.23315287123987505","0","0","8.200000000000001","249.17","46.41"
