Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","% Away From 52W High","ROCE","Debt to Equity","5Y Historical Revenue Growth","Sector PE","No. of analysts with buy reco","Percentage Buy Reco’s","Percentage Upside","Fundamental Score","Value Momentum Rank","Earnings Quality Rank","Price Momentum Rank","Price to Intrinsic Value Rank","Total Revenue","Total Debt","Expense Ratio"
Bank of Baroda Ltd,BANKBARODA,"Public Banks","50136.356325404995","96.95","6.387049211549117","26.560082516761206","3.7442224989152626",,"10.865415808734813","18.157425027422967","26","81.25","28.409188911704305","4.22","93","20","60","95","87780.19",,
Torrent Pharmaceuticals Ltd,TORNTPHARM,"Pharmaceuticals","49361.4213104","2916.95","63.528212754697556","13.08044361404892","16.12757444982756","82.66779963578239","7.587271352308811","32.952257012295874","22","73.3333333333333","14.480720216764267","3.966","49","69","52","33","8705","4825.459999999999",
UPL Ltd,UPL,"Fertilizers & Agro Chemicals","48301.60169835","643.5","13.320905046428571","32.463092463092465","14.776751190524646","99.32058584214809","22.689026318477556","11.280902227432499","24","92.3076923076923","63.66152751423151","5.285185185185184","95","72","74",,"46655","24413",
ABB India Ltd,ABB,"Heavy Electrical Equipments","48218.691189375","2275.45","92.77999497676602","9.334417367993142","17.729700854700837","0.9062615105841753","-3.8147468863512057","42.94042285274228","12","46.1538461538462","-0.029553652918435872","5.958333333333333","69","91","98","6","7214.96","36.66",
Info Edge (India) Ltd,NAUKRI,"Online Services","48036.6144519","3726.5","3.7647547761756677","100.33275191198175","251.04111806642936","1.1752746340018925","73.82161490943508","-164.40969921343853","10","50","31.351122698733622","6.124999999999999","9","26","1",,"15399.46","65.09",
MindTree Ltd,MINDTREE,"IT Services & Consulting","47528.787324619996","2883.35","28.75478693485393","75.4903150848839","37.95685385713083","10.15181132282285","15.405763458466716","25.377926607793576","13","37.142857142857096","48.611523873850444","5.798913043478261","50","97","40","32","10832.599999999999","555.7",
Indian Railway Catering and Tourism Corporation Ltd,IRCTC,"Online Services","46336","579.2","69.81572722204643","120.8667127071823","55.30778065062919","0","4.228708865929187","-164.40969921343853","1","16.6666666666667","-1.8792780284623372",,"9","32","74","14","1952.3","0",
Bosch Ltd,BOSCHLTD,"Auto Parts","46264.6085132","15686.3","38.01529047921122","22.718550582355302","14.882598029671732","0.5482579054102253","1.418610536937881","115.76793819834823","3","60","2.1903858275988712","5.137681159420289","22","90","46","38","12177.8","53.8",
Page Industries Ltd,PAGEIND,"Apparel & Accessories","46150.04598492","41375.8","86.01577914547183","12.959024357232952","75.03265723572954","14.356748937709067","12.661337395283256","115.76793819834823","9","42.8571428571429","9.114560143403079","6.789795918367346","67","100","87","10","3907.44","127.04",
Gland Pharma Ltd,GLAND,"Pharmaceuticals","43681.56981267","2652.9","36.05101250571118","63.971502883636774","27.13756883455473","0.06894518942140249","25.04401674390808","32.952257012295874","11","73.3333333333333","32.11644520116963",,"11","65","23","30","4624.65","4.07",
Procter & Gamble Hygiene and Health Care Ltd,PGHH,"FMCG - Personal Products","43478.073441485","13394.05","66.70564666761531","22.806022076967025","109.87770460959551","0","8.866271240137324","42.670964289078235","1","100","25.060306750990158","5.454545454545454","46","100","84","20","3613.52","0",
